FIPSCode,LocationType,Location,GradeLevel,StudentResponse,TimeFrame,DataFormat,Data
06075,County,San Francisco County,Grade 7,None,2011_2013,Percent,N_A
06077,County,San Joaquin County,Grade 7,None,2011_2013,Percent,S
06079,County,San Luis Obispo County,Grade 7,None,2011_2013,Percent,56.9
06081,County,San Mateo County,Grade 7,None,2011_2013,Percent,S
06083,County,Santa Barbara County,Grade 7,None,2011_2013,Percent,64.7
06085,County,Santa Clara County,Grade 7,None,2011_2013,Percent,S
06087,County,Santa Cruz County,Grade 7,None,2011_2013,Percent,S
06089,County,Shasta County,Grade 7,None,2011_2013,Percent,S
06093,County,Siskiyou County,Grade 7,None,2011_2013,Percent,64.0
06095,County,Solano County,Grade 7,None,2011_2013,Percent,58.7
06097,County,Sonoma County,Grade 7,None,2011_2013,Percent,68.7
06099,County,Stanislaus County,Grade 7,None,2011_2013,Percent,59.1
06101,County,Sutter County,Grade 7,None,2011_2013,Percent,53.7
06103,County,Tehama County,Grade 7,None,2011_2013,Percent,61.7
06105,County,Trinity County,Grade 7,None,2011_2013,Percent,34.4
06107,County,Tulare County,Grade 7,None,2011_2013,Percent,S
06109,County,Tuolumne County,Grade 7,None,2011_2013,Percent,S
06111,County,Ventura County,Grade 7,None,2011_2013,Percent,59.7
06113,County,Yolo County,Grade 7,None,2011_2013,Percent,57.2
06115,County,Yuba County,Grade 7,None,2011_2013,Percent,51.5
06,State,California,Grade 7,Some,2011_2013,Percent,39.1
06001,County,Alameda County,Grade 7,Some,2011_2013,Percent,39.7
06003,County,Alpine County,Grade 7,Some,2011_2013,Percent,S
06007,County,Butte County,Grade 7,Some,2011_2013,Percent,44.4
06009,County,Calaveras County,Grade 7,Some,2011_2013,Percent,39.7
06011,County,Colusa County,Grade 7,Some,2011_2013,Percent,28.1
06013,County,Contra Costa County,Grade 7,Some,2011_2013,Percent,43.3
06015,County,Del Norte County,Grade 7,Some,2011_2013,Percent,50.8
06017,County,El Dorado County,Grade 7,Some,2011_2013,Percent,44.5
06019,County,Fresno County,Grade 7,Some,2011_2013,Percent,S
06021,County,Glenn County,Grade 7,Some,2011_2013,Percent,S
06023,County,Humboldt County,Grade 7,Some,2011_2013,Percent,32.6
06025,County,Imperial County,Grade 7,Some,2011_2013,Percent,34.2
06027,County,Inyo County,Grade 7,Some,2011_2013,Percent,53.6
06029,County,Kern County,Grade 7,Some,2011_2013,Percent,38.5
06031,County,Kings County,Grade 7,Some,2011_2013,Percent,S
06033,County,Lake County,Grade 7,Some,2011_2013,Percent,N_A
06035,County,Lassen County,Grade 7,Some,2011_2013,Percent,56.4
06037,County,Los Angeles County,Grade 7,Some,2011_2013,Percent,37.6
06039,County,Madera County,Grade 7,Some,2011_2013,Percent,38.8
06041,County,Marin County,Grade 7,Some,2011_2013,Percent,44.0
06043,County,Mariposa County,Grade 7,Some,2011_2013,Percent,S
06045,County,Mendocino County,Grade 7,Some,2011_2013,Percent,34.1
06047,County,Merced County,Grade 7,Some,2011_2013,Percent,S
06049,County,Modoc County,Grade 7,Some,2011_2013,Percent,S
06051,County,Mono County,Grade 7,Some,2011_2013,Percent,S
06053,County,Monterey County,Grade 7,Some,2011_2013,Percent,37.1
06055,County,Napa County,Grade 7,Some,2011_2013,Percent,34.4
06057,County,Nevada County,Grade 7,Some,2011_2013,Percent,31.7
06059,County,Orange County,Grade 7,Some,2011_2013,Percent,36.4
06061,County,Placer County,Grade 7,Some,2011_2013,Percent,S
06063,County,Plumas County,Grade 7,Some,2011_2013,Percent,44.6
06065,County,Riverside County,Grade 7,Some,2011_2013,Percent,37.4
06067,County,Sacramento County,Grade 7,Some,2011_2013,Percent,40.1
06069,County,San Benito County,Grade 7,Some,2011_2013,Percent,S
06071,County,San Bernardino County,Grade 7,Some,2011_2013,Percent,S
06073,County,San Diego County,Grade 7,Some,2011_2013,Percent,41.6
06075,County,San Francisco County,Grade 7,Some,2011_2013,Percent,N_A
06077,County,San Joaquin County,Grade 7,Some,2011_2013,Percent,S
06079,County,San Luis Obispo County,Grade 7,Some,2011_2013,Percent,43.1
06,State,California,Grade 9,None,2011_2013,Percent,66.0
06001,County,Alameda County,Grade 9,None,2011_2013,Percent,65.5
06003,County,Alpine County,Grade 9,None,2011_2013,Percent,N_A
06007,County,Butte County,Grade 9,None,2011_2013,Percent,64.3
06009,County,Calaveras County,Grade 9,None,2011_2013,Percent,57.2
06011,County,Colusa County,Grade 9,None,2011_2013,Percent,70.9
06013,County,Contra Costa County,Grade 9,None,2011_2013,Percent,67.5
06015,County,Del Norte County,Grade 9,None,2011_2013,Percent,56.5
06017,County,El Dorado County,Grade 9,None,2011_2013,Percent,59.9
06019,County,Fresno County,Grade 9,None,2011_2013,Percent,S
06021,County,Glenn County,Grade 9,None,2011_2013,Percent,S
06023,County,Humboldt County,Grade 9,None,2011_2013,Percent,58.9
06025,County,Imperial County,Grade 9,None,2011_2013,Percent,69.1
06027,County,Inyo County,Grade 9,None,2011_2013,Percent,S
06029,County,Kern County,Grade 9,None,2011_2013,Percent,S
06031,County,Kings County,Grade 9,None,2011_2013,Percent,S
06033,County,Lake County,Grade 9,None,2011_2013,Percent,S
06035,County,Lassen County,Grade 9,None,2011_2013,Percent,61.5
06037,County,Los Angeles County,Grade 9,None,2011_2013,Percent,68.4
06039,County,Madera County,Grade 9,None,2011_2013,Percent,66.7
06041,County,Marin County,Grade 9,None,2011_2013,Percent,61.5
06043,County,Mariposa County,Grade 9,None,2011_2013,Percent,66.2
06045,County,Mendocino County,Grade 9,None,2011_2013,Percent,62.6
06047,County,Merced County,Grade 9,None,2011_2013,Percent,64.0
06049,County,Modoc County,Grade 9,None,2011_2013,Percent,S
06051,County,Mono County,Grade 9,None,2011_2013,Percent,76.8
06053,County,Monterey County,Grade 9,None,2011_2013,Percent,66.3
06055,County,Napa County,Grade 9,None,2011_2013,Percent,67.9
06057,County,Nevada County,Grade 9,None,2011_2013,Percent,70.4
06059,County,Orange County,Grade 9,None,2011_2013,Percent,68.0
06061,County,Placer County,Grade 9,None,2011_2013,Percent,S
06063,County,Plumas County,Grade 9,None,2011_2013,Percent,57.7
06065,County,Riverside County,Grade 9,None,2011_2013,Percent,66.7
06067,County,Sacramento County,Grade 9,None,2011_2013,Percent,62.2
06069,County,San Benito County,Grade 9,None,2011_2013,Percent,68.0
06071,County,San Bernardino County,Grade 9,None,2011_2013,Percent,S
06073,County,San Diego County,Grade 9,None,2011_2013,Percent,66.9
06075,County,San Francisco County,Grade 9,None,2011_2013,Percent,S
06077,County,San Joaquin County,Grade 9,None,2011_2013,Percent,S
06079,County,San Luis Obispo County,Grade 9,None,2011_2013,Percent,63.5
06081,County,San Mateo County,Grade 7,Some,2011_2013,Percent,S
06081,County,San Mateo County,Grade 9,None,2011_2013,Percent,64.9
06083,County,Santa Barbara County,Grade 7,Some,2011_2013,Percent,35.3
06083,County,Santa Barbara County,Grade 9,None,2011_2013,Percent,69.5
06085,County,Santa Clara County,Grade 7,Some,2011_2013,Percent,S
06085,County,Santa Clara County,Grade 9,None,2011_2013,Percent,S
06087,County,Santa Cruz County,Grade 7,Some,2011_2013,Percent,S
06087,County,Santa Cruz County,Grade 9,None,2011_2013,Percent,70.3
06089,County,Shasta County,Grade 7,Some,2011_2013,Percent,S
06089,County,Shasta County,Grade 9,None,2011_2013,Percent,S
06093,County,Siskiyou County,Grade 7,Some,2011_2013,Percent,36.0
06093,County,Siskiyou County,Grade 9,None,2011_2013,Percent,62.1
06095,County,Solano County,Grade 7,Some,2011_2013,Percent,41.3
06095,County,Solano County,Grade 9,None,2011_2013,Percent,66.8
06097,County,Sonoma County,Grade 7,Some,2011_2013,Percent,31.3
06097,County,Sonoma County,Grade 9,None,2011_2013,Percent,69.2
06099,County,Stanislaus County,Grade 7,Some,2011_2013,Percent,40.9
06099,County,Stanislaus County,Grade 9,None,2011_2013,Percent,61.1
06101,County,Sutter County,Grade 7,Some,2011_2013,Percent,46.3
06101,County,Sutter County,Grade 9,None,2011_2013,Percent,68.6
06103,County,Tehama County,Grade 7,Some,2011_2013,Percent,38.3
06103,County,Tehama County,Grade 9,None,2011_2013,Percent,67.0
06105,County,Trinity County,Grade 7,Some,2011_2013,Percent,65.6
06105,County,Trinity County,Grade 9,None,2011_2013,Percent,59.1
06107,County,Tulare County,Grade 7,Some,2011_2013,Percent,S
06107,County,Tulare County,Grade 9,None,2011_2013,Percent,S
06109,County,Tuolumne County,Grade 7,Some,2011_2013,Percent,S
06109,County,Tuolumne County,Grade 9,None,2011_2013,Percent,S
06111,County,Ventura County,Grade 7,Some,2011_2013,Percent,40.3
06111,County,Ventura County,Grade 9,None,2011_2013,Percent,63.6
06113,County,Yolo County,Grade 7,Some,2011_2013,Percent,42.8
06113,County,Yolo County,Grade 9,None,2011_2013,Percent,64.5
06115,County,Yuba County,Grade 7,Some,2011_2013,Percent,48.5
06115,County,Yuba County,Grade 9,None,2011_2013,Percent,60.8
06,State,California,Grade 9,Some,2011_2013,Percent,34.0
06,State,California,Grade 11,None,2011_2013,Percent,72.8
06,State,California,Grade 11,Some,2011_2013,Percent,27.2
06001,County,Alameda County,Grade 9,Some,2011_2013,Percent,34.5
06001,County,Alameda County,Grade 11,None,2011_2013,Percent,73.5
06001,County,Alameda County,Grade 11,Some,2011_2013,Percent,26.5
06003,County,Alpine County,Grade 9,Some,2011_2013,Percent,N_A
06003,County,Alpine County,Grade 11,None,2011_2013,Percent,N_A
06003,County,Alpine County,Grade 11,Some,2011_2013,Percent,N_A
06007,County,Butte County,Grade 9,Some,2011_2013,Percent,35.7
06007,County,Butte County,Grade 11,None,2011_2013,Percent,65.8
06007,County,Butte County,Grade 11,Some,2011_2013,Percent,34.2
06009,County,Calaveras County,Grade 9,Some,2011_2013,Percent,42.8
06009,County,Calaveras County,Grade 11,None,2011_2013,Percent,61.8
06009,County,Calaveras County,Grade 11,Some,2011_2013,Percent,38.2
06011,County,Colusa County,Grade 9,Some,2011_2013,Percent,29.1
06011,County,Colusa County,Grade 11,None,2011_2013,Percent,74.2
06011,County,Colusa County,Grade 11,Some,2011_2013,Percent,25.8
06013,County,Contra Costa County,Grade 9,Some,2011_2013,Percent,32.5
06013,County,Contra Costa County,Grade 11,None,2011_2013,Percent,73.8
06013,County,Contra Costa County,Grade 11,Some,2011_2013,Percent,26.2
06015,County,Del Norte County,Grade 9,Some,2011_2013,Percent,43.5
06015,County,Del Norte County,Grade 11,None,2011_2013,Percent,69.9
06015,County,Del Norte County,Grade 11,Some,2011_2013,Percent,30.1
06017,County,El Dorado County,Grade 9,Some,2011_2013,Percent,40.1
06017,County,El Dorado County,Grade 11,None,2011_2013,Percent,69.1
06017,County,El Dorado County,Grade 11,Some,2011_2013,Percent,30.9
06019,County,Fresno County,Grade 9,Some,2011_2013,Percent,S
06019,County,Fresno County,Grade 11,None,2011_2013,Percent,S
06019,County,Fresno County,Grade 11,Some,2011_2013,Percent,S
06021,County,Glenn County,Grade 9,Some,2011_2013,Percent,S
06021,County,Glenn County,Grade 11,None,2011_2013,Percent,S
06021,County,Glenn County,Grade 11,Some,2011_2013,Percent,S
06023,County,Humboldt County,Grade 9,Some,2011_2013,Percent,41.1
06023,County,Humboldt County,Grade 11,None,2011_2013,Percent,71.6
06023,County,Humboldt County,Grade 11,Some,2011_2013,Percent,28.4
06025,County,Imperial County,Grade 9,Some,2011_2013,Percent,30.9
06025,County,Imperial County,Grade 11,None,2011_2013,Percent,75.0
06025,County,Imperial County,Grade 11,Some,2011_2013,Percent,25.0
06027,County,Inyo County,Grade 9,Some,2011_2013,Percent,S
06027,County,Inyo County,Grade 11,None,2011_2013,Percent,S
06027,County,Inyo County,Grade 11,Some,2011_2013,Percent,S
06029,County,Kern County,Grade 9,Some,2011_2013,Percent,S
06029,County,Kern County,Grade 11,None,2011_2013,Percent,S
06029,County,Kern County,Grade 11,Some,2011_2013,Percent,S
06031,County,Kings County,Grade 9,Some,2011_2013,Percent,S
06031,County,Kings County,Grade 11,None,2011_2013,Percent,S
06031,County,Kings County,Grade 11,Some,2011_2013,Percent,S
06033,County,Lake County,Grade 9,Some,2011_2013,Percent,S
06033,County,Lake County,Grade 11,None,2011_2013,Percent,S
06033,County,Lake County,Grade 11,Some,2011_2013,Percent,S
06035,County,Lassen County,Grade 9,Some,2011_2013,Percent,38.5
06035,County,Lassen County,Grade 11,None,2011_2013,Percent,68.1
06035,County,Lassen County,Grade 11,Some,2011_2013,Percent,31.9
06037,County,Los Angeles County,Grade 9,Some,2011_2013,Percent,31.6
06037,County,Los Angeles County,Grade 11,None,2011_2013,Percent,74.8
06037,County,Los Angeles County,Grade 11,Some,2011_2013,Percent,25.2
06039,County,Madera County,Grade 9,Some,2011_2013,Percent,33.3
06039,County,Madera County,Grade 11,None,2011_2013,Percent,73.5
06039,County,Madera County,Grade 11,Some,2011_2013,Percent,26.5
06041,County,Marin County,Grade 9,Some,2011_2013,Percent,38.5
06041,County,Marin County,Grade 11,None,2011_2013,Percent,75.8
06041,County,Marin County,Grade 11,Some,2011_2013,Percent,24.2
06043,County,Mariposa County,Grade 9,Some,2011_2013,Percent,33.8
06043,County,Mariposa County,Grade 11,None,2011_2013,Percent,65.0
06043,County,Mariposa County,Grade 11,Some,2011_2013,Percent,35.0
06045,County,Mendocino County,Grade 9,Some,2011_2013,Percent,37.4
06045,County,Mendocino County,Grade 11,None,2011_2013,Percent,72.2
06045,County,Mendocino County,Grade 11,Some,2011_2013,Percent,27.8
06047,County,Merced County,Grade 9,Some,2011_2013,Percent,36.0
06047,County,Merced County,Grade 11,None,2011_2013,Percent,72.0
06047,County,Merced County,Grade 11,Some,2011_2013,Percent,28.0
06049,County,Modoc County,Grade 9,Some,2011_2013,Percent,S
06049,County,Modoc County,Grade 11,None,2011_2013,Percent,S
06049,County,Modoc County,Grade 11,Some,2011_2013,Percent,S
06051,County,Mono County,Grade 9,Some,2011_2013,Percent,23.2
06051,County,Mono County,Grade 11,None,2011_2013,Percent,60.6
06051,County,Mono County,Grade 11,Some,2011_2013,Percent,39.4
06053,County,Monterey County,Grade 9,Some,2011_2013,Percent,33.7
06053,County,Monterey County,Grade 11,None,2011_2013,Percent,71.5
06053,County,Monterey County,Grade 11,Some,2011_2013,Percent,28.5
06055,County,Napa County,Grade 9,Some,2011_2013,Percent,32.1
06055,County,Napa County,Grade 11,None,2011_2013,Percent,73.5
06055,County,Napa County,Grade 11,Some,2011_2013,Percent,26.5
06057,County,Nevada County,Grade 9,Some,2011_2013,Percent,29.6
06057,County,Nevada County,Grade 11,None,2011_2013,Percent,72.1
06057,County,Nevada County,Grade 11,Some,2011_2013,Percent,27.9
06059,County,Orange County,Grade 9,Some,2011_2013,Percent,32.0
06059,County,Orange County,Grade 11,None,2011_2013,Percent,74.1
06059,County,Orange County,Grade 11,Some,2011_2013,Percent,25.9
06061,County,Placer County,Grade 9,Some,2011_2013,Percent,S
06061,County,Placer County,Grade 11,None,2011_2013,Percent,S
06061,County,Placer County,Grade 11,Some,2011_2013,Percent,S
06063,County,Plumas County,Grade 9,Some,2011_2013,Percent,42.3
06063,County,Plumas County,Grade 11,None,2011_2013,Percent,60.2
06063,County,Plumas County,Grade 11,Some,2011_2013,Percent,39.8
06065,County,Riverside County,Grade 9,Some,2011_2013,Percent,33.3
06065,County,Riverside County,Grade 11,None,2011_2013,Percent,72.9
06065,County,Riverside County,Grade 11,Some,2011_2013,Percent,27.1
06067,County,Sacramento County,Grade 9,Some,2011_2013,Percent,37.8
06067,County,Sacramento County,Grade 11,None,2011_2013,Percent,71.7
06067,County,Sacramento County,Grade 11,Some,2011_2013,Percent,28.3
06069,County,San Benito County,Grade 9,Some,2011_2013,Percent,32.0
06069,County,San Benito County,Grade 11,None,2011_2013,Percent,68.6
06069,County,San Benito County,Grade 11,Some,2011_2013,Percent,31.4
06071,County,San Bernardino County,Grade 9,Some,2011_2013,Percent,S
06071,County,San Bernardino County,Grade 11,None,2011_2013,Percent,S
06071,County,San Bernardino County,Grade 11,Some,2011_2013,Percent,S
06073,County,San Diego County,Grade 9,Some,2011_2013,Percent,33.1
06073,County,San Diego County,Grade 11,None,2011_2013,Percent,73.1
06073,County,San Diego County,Grade 11,Some,2011_2013,Percent,26.9
06075,County,San Francisco County,Grade 9,Some,2011_2013,Percent,S
06075,County,San Francisco County,Grade 11,None,2011_2013,Percent,S
06075,County,San Francisco County,Grade 11,Some,2011_2013,Percent,S
06077,County,San Joaquin County,Grade 9,Some,2011_2013,Percent,S
06077,County,San Joaquin County,Grade 11,None,2011_2013,Percent,S
06077,County,San Joaquin County,Grade 11,Some,2011_2013,Percent,S
06079,County,San Luis Obispo County,Grade 9,Some,2011_2013,Percent,36.5
06079,County,San Luis Obispo County,Grade 11,None,2011_2013,Percent,73.9
06079,County,San Luis Obispo County,Grade 11,Some,2011_2013,Percent,26.1
06081,County,San Mateo County,Grade 9,Some,2011_2013,Percent,35.1
06081,County,San Mateo County,Grade 11,None,2011_2013,Percent,74.1
06081,County,San Mateo County,Grade 11,Some,2011_2013,Percent,25.9
06083,County,Santa Barbara County,Grade 9,Some,2011_2013,Percent,30.5
06083,County,Santa Barbara County,Grade 11,None,2011_2013,Percent,76.1
06083,County,Santa Barbara County,Grade 11,Some,2011_2013,Percent,23.9
06085,County,Santa Clara County,Grade 9,Some,2011_2013,Percent,S
06085,County,Santa Clara County,Grade 11,None,2011_2013,Percent,S
06085,County,Santa Clara County,Grade 11,Some,2011_2013,Percent,S
06087,County,Santa Cruz County,Grade 9,Some,2011_2013,Percent,29.7
06087,County,Santa Cruz County,Grade 11,None,2011_2013,Percent,75.8
06087,County,Santa Cruz County,Grade 11,Some,2011_2013,Percent,24.2
06089,County,Shasta County,Grade 9,Some,2011_2013,Percent,S
06089,County,Shasta County,Grade 11,None,2011_2013,Percent,S
06089,County,Shasta County,Grade 11,Some,2011_2013,Percent,S
06093,County,Siskiyou County,Grade 9,Some,2011_2013,Percent,37.9
06093,County,Siskiyou County,Grade 11,None,2011_2013,Percent,72.2
06093,County,Siskiyou County,Grade 11,Some,2011_2013,Percent,27.8
06095,County,Solano County,Grade 9,Some,2011_2013,Percent,33.2
06095,County,Solano County,Grade 11,None,2011_2013,Percent,71.5
06095,County,Solano County,Grade 11,Some,2011_2013,Percent,28.5
06097,County,Sonoma County,Grade 9,Some,2011_2013,Percent,30.8
06097,County,Sonoma County,Grade 11,None,2011_2013,Percent,72.2
06097,County,Sonoma County,Grade 11,Some,2011_2013,Percent,27.8
06099,County,Stanislaus County,Grade 9,Some,2011_2013,Percent,38.9
06099,County,Stanislaus County,Grade 11,None,2011_2013,Percent,71.5
06099,County,Stanislaus County,Grade 11,Some,2011_2013,Percent,28.5
06101,County,Sutter County,Grade 9,Some,2011_2013,Percent,31.4
06101,County,Sutter County,Grade 11,None,2011_2013,Percent,75.2
06101,County,Sutter County,Grade 11,Some,2011_2013,Percent,24.8
06103,County,Tehama County,Grade 9,Some,2011_2013,Percent,33.0
06103,County,Tehama County,Grade 11,None,2011_2013,Percent,75.1
06103,County,Tehama County,Grade 11,Some,2011_2013,Percent,24.9
06105,County,Trinity County,Grade 9,Some,2011_2013,Percent,40.9
06105,County,Trinity County,Grade 11,None,2011_2013,Percent,66.0
06105,County,Trinity County,Grade 11,Some,2011_2013,Percent,34.0
06107,County,Tulare County,Grade 9,Some,2011_2013,Percent,S
06107,County,Tulare County,Grade 11,None,2011_2013,Percent,S
06107,County,Tulare County,Grade 11,Some,2011_2013,Percent,S
06109,County,Tuolumne County,Grade 9,Some,2011_2013,Percent,S
06109,County,Tuolumne County,Grade 11,None,2011_2013,Percent,S
06109,County,Tuolumne County,Grade 11,Some,2011_2013,Percent,S
06111,County,Ventura County,Grade 9,Some,2011_2013,Percent,36.4
06111,County,Ventura County,Grade 11,None,2011_2013,Percent,69.4
06111,County,Ventura County,Grade 11,Some,2011_2013,Percent,30.6
06113,County,Yolo County,Grade 9,Some,2011_2013,Percent,35.5
06113,County,Yolo County,Grade 11,None,2011_2013,Percent,72.9
06113,County,Yolo County,Grade 11,Some,2011_2013,Percent,27.1
06115,County,Yuba County,Grade 9,Some,2011_2013,Percent,39.2
06115,County,Yuba County,Grade 11,None,2011_2013,Percent,61.6
06115,County,Yuba County,Grade 11,Some,2011_2013,Percent,38.4
06,State,California,Non_Traditional,None,2011_2013,Percent,70.3
06,State,California,Non_Traditional,Some,2011_2013,Percent,29.7
06001,County,Alameda County,Non_Traditional,None,2011_2013,Percent,73.6
06001,County,Alameda County,Non_Traditional,Some,2011_2013,Percent,26.4
06003,County,Alpine County,Non_Traditional,None,2011_2013,Percent,N_A
06003,County,Alpine County,Non_Traditional,Some,2011_2013,Percent,N_A
06007,County,Butte County,Non_Traditional,None,2011_2013,Percent,S
06007,County,Butte County,Non_Traditional,Some,2011_2013,Percent,S
06009,County,Calaveras County,Non_Traditional,None,2011_2013,Percent,S
06009,County,Calaveras County,Non_Traditional,Some,2011_2013,Percent,S
06011,County,Colusa County,Non_Traditional,None,2011_2013,Percent,48.3
06011,County,Colusa County,Non_Traditional,Some,2011_2013,Percent,51.7
06013,County,Contra Costa County,Non_Traditional,None,2011_2013,Percent,S
06013,County,Contra Costa County,Non_Traditional,Some,2011_2013,Percent,S
06015,County,Del Norte County,Non_Traditional,None,2011_2013,Percent,S
06015,County,Del Norte County,Non_Traditional,Some,2011_2013,Percent,S
06017,County,El Dorado County,Non_Traditional,None,2011_2013,Percent,S
06017,County,El Dorado County,Non_Traditional,Some,2011_2013,Percent,S
06019,County,Fresno County,Non_Traditional,None,2011_2013,Percent,S
06019,County,Fresno County,Non_Traditional,Some,2011_2013,Percent,S
06021,County,Glenn County,Non_Traditional,None,2011_2013,Percent,S
06021,County,Glenn County,Non_Traditional,Some,2011_2013,Percent,S
06023,County,Humboldt County,Non_Traditional,None,2011_2013,Percent,S
06023,County,Humboldt County,Non_Traditional,Some,2011_2013,Percent,S
06025,County,Imperial County,Non_Traditional,None,2011_2013,Percent,S
06025,County,Imperial County,Non_Traditional,Some,2011_2013,Percent,S
06027,County,Inyo County,Non_Traditional,None,2011_2013,Percent,S
06027,County,Inyo County,Non_Traditional,Some,2011_2013,Percent,S
06029,County,Kern County,Non_Traditional,None,2011_2013,Percent,S
06029,County,Kern County,Non_Traditional,Some,2011_2013,Percent,S
06031,County,Kings County,Non_Traditional,None,2011_2013,Percent,S
06031,County,Kings County,Non_Traditional,Some,2011_2013,Percent,S
06033,County,Lake County,Non_Traditional,None,2011_2013,Percent,N_A
06033,County,Lake County,Non_Traditional,Some,2011_2013,Percent,N_A
06035,County,Lassen County,Non_Traditional,None,2011_2013,Percent,N_A
06035,County,Lassen County,Non_Traditional,Some,2011_2013,Percent,N_A
06037,County,Los Angeles County,Non_Traditional,None,2011_2013,Percent,72.8
06037,County,Los Angeles County,Non_Traditional,Some,2011_2013,Percent,27.2
06039,County,Madera County,Non_Traditional,None,2011_2013,Percent,S
06039,County,Madera County,Non_Traditional,Some,2011_2013,Percent,S
06041,County,Marin County,Non_Traditional,None,2011_2013,Percent,S
06041,County,Marin County,Non_Traditional,Some,2011_2013,Percent,S
06043,County,Mariposa County,Non_Traditional,None,2011_2013,Percent,N_A
06043,County,Mariposa County,Non_Traditional,Some,2011_2013,Percent,N_A
06045,County,Mendocino County,Non_Traditional,None,2011_2013,Percent,S
06045,County,Mendocino County,Non_Traditional,Some,2011_2013,Percent,S
06047,County,Merced County,Non_Traditional,None,2011_2013,Percent,64.8
06047,County,Merced County,Non_Traditional,Some,2011_2013,Percent,35.2
06049,County,Modoc County,Non_Traditional,None,2011_2013,Percent,N_A
06049,County,Modoc County,Non_Traditional,Some,2011_2013,Percent,N_A
06051,County,Mono County,Non_Traditional,None,2011_2013,Percent,S
06051,County,Mono County,Non_Traditional,Some,2011_2013,Percent,S
06053,County,Monterey County,Non_Traditional,None,2011_2013,Percent,69.4
06053,County,Monterey County,Non_Traditional,Some,2011_2013,Percent,30.6
06055,County,Napa County,Non_Traditional,None,2011_2013,Percent,67.2
06055,County,Napa County,Non_Traditional,Some,2011_2013,Percent,32.8
06057,County,Nevada County,Non_Traditional,None,2011_2013,Percent,63.9
06057,County,Nevada County,Non_Traditional,Some,2011_2013,Percent,36.1
06059,County,Orange County,Non_Traditional,None,2011_2013,Percent,73.7
06059,County,Orange County,Non_Traditional,Some,2011_2013,Percent,26.3
06061,County,Placer County,Non_Traditional,None,2011_2013,Percent,S
06061,County,Placer County,Non_Traditional,Some,2011_2013,Percent,S
06063,County,Plumas County,Non_Traditional,None,2011_2013,Percent,N_A
06063,County,Plumas County,Non_Traditional,Some,2011_2013,Percent,N_A
06065,County,Riverside County,Non_Traditional,None,2011_2013,Percent,S
06065,County,Riverside County,Non_Traditional,Some,2011_2013,Percent,S
06067,County,Sacramento County,Non_Traditional,None,2011_2013,Percent,S
06067,County,Sacramento County,Non_Traditional,Some,2011_2013,Percent,S
06069,County,San Benito County,Non_Traditional,None,2011_2013,Percent,S
06069,County,San Benito County,Non_Traditional,Some,2011_2013,Percent,S
06071,County,San Bernardino County,Non_Traditional,None,2011_2013,Percent,S
06071,County,San Bernardino County,Non_Traditional,Some,2011_2013,Percent,S
06073,County,San Diego County,Non_Traditional,None,2011_2013,Percent,S
